status,name,instructions,instructions Δ,instructions Δ%,heap_increase,heap_increase Δ,heap_increase Δ%,stable_memory_increase,stable_memory_increase Δ,stable_memory_increase Δ%
,btreemap_insert_blob_1024_512_v2_mem_manager,5583623879,0,0.00%,52,0,0.00%,256,0,0.00%
,btreemap_insert_blob_1024_512_v2_mem_manager::node_load_v2,4520360645,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_1024_512_v2_mem_manager::node_save_v2,313521821,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_1024_64,5268373458,0,0.00%,52,0,0.00%,250,0,0.00%
,btreemap_insert_blob_1024_64::node_load_v1,4428679832,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_1024_64::node_save_v1,169852259,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_1024_64_v2,5355217585,0,0.00%,52,0,0.00%,188,0,0.00%
,btreemap_insert_blob_1024_64_v2::node_load_v2,4481320583,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_1024_64_v2::node_save_v2,196471440,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_1024_8,5221278713,0,0.00%,52,0,0.00%,237,0,0.00%
,btreemap_insert_blob_1024_8::node_load_v1,4393097416,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_1024_8::node_save_v1,162826342,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_1024_8_v2,5289865484,0,0.00%,52,0,0.00%,178,0,0.00%
,btreemap_insert_blob_1024_8_v2::node_load_v2,4452300824,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_1024_8_v2::node_save_v2,189513647,0,0.00%,0,0,0.00%,1,0,0.00%
,btreemap_insert_blob_128_1024,1368641001,0,0.00%,51,0,0.00%,260,0,0.00%
,btreemap_insert_blob_128_1024::node_load_v1,753632390,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_128_1024::node_save_v1,226369379,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_128_1024_v2,1469526752,0,0.00%,51,0,0.00%,195,0,0.00%
,btreemap_insert_blob_128_1024_v2::node_load_v2,833359199,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_128_1024_v2::node_save_v2,252442880,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_16_1024,741867800,0,0.00%,51,0,0.00%,215,0,0.00%
,btreemap_insert_blob_16_1024::node_load_v1,186713642,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_16_1024::node_save_v1,215461849,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_16_1024_v2,842665968,0,0.00%,51,0,0.00%,161,0,0.00%
,btreemap_insert_blob_16_1024_v2::node_load_v2,262757961,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_16_1024_v2::node_save_v2,241446873,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_256_1024,1963715061,0,0.00%,51,0,0.00%,292,0,0.00%
,btreemap_insert_blob_256_1024::node_load_v1,1275230484,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_256_1024::node_save_v1,236361040,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_256_1024_v2,2057811503,0,0.00%,52,0,0.00%,219,0,0.00%
,btreemap_insert_blob_256_1024_v2::node_load_v2,1352351996,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_256_1024_v2::node_save_v2,260087324,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_32_1024,776268961,0,0.00%,52,0,0.00%,230,0,0.00%
,btreemap_insert_blob_32_1024::node_load_v1,213012320,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_32_1024::node_save_v1,222677443,0,0.00%,0,0,0.00%,0,0,0.00%
,btreemap_insert_blob_32_1024_v2,878086096,0,0.00%,51,0,0.00%,173,0,0.00%
